id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_restoran,satuan,tahun
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,29.0,UNIT,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26.0,UNIT,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,62.0,UNIT,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.0,UNIT,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,UNIT,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,87.0,UNIT,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,7.0,UNIT,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,154.0,UNIT,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,3.0,UNIT,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,92.0,UNIT,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,12.0,UNIT,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,11.0,UNIT,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19.0,UNIT,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,3.0,UNIT,2015
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.0,UNIT,2016
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.0,UNIT,2016
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25.0,UNIT,2016
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40.0,UNIT,2016
59,32,JAWA BARAT,3205,KABUPATEN GARUT,8.0,UNIT,2016
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,UNIT,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6.0,UNIT,2016
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4.0,UNIT,2016
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2.0,UNIT,2016
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,UNIT,2016
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5.0,UNIT,2016
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.0,UNIT,2016
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,UNIT,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31.0,UNIT,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,90.0,UNIT,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,62.0,UNIT,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.0,UNIT,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.0,UNIT,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,72.0,UNIT,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,9.0,UNIT,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,370.0,UNIT,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,UNIT,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,92.0,UNIT,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,76.0,UNIT,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,15.0,UNIT,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15.0,UNIT,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,3.0,UNIT,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,126.0,UNIT,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.0,UNIT,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25.0,UNIT,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40.0,UNIT,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,8.0,UNIT,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,UNIT,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.0,UNIT,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4.0,UNIT,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2.0,UNIT,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,UNIT,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5.0,UNIT,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.0,UNIT,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,UNIT,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31.0,UNIT,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,155.0,UNIT,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,62.0,UNIT,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.0,UNIT,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.0,UNIT,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,72.0,UNIT,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,9.0,UNIT,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,370.0,UNIT,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,0.0,UNIT,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,92.0,UNIT,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,76.0,UNIT,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,15.0,UNIT,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15.0,UNIT,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,3.0,UNIT,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,UNIT,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.0,UNIT,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42.0,UNIT,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40.0,UNIT,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,143.0,UNIT,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,UNIT,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.0,UNIT,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17.0,UNIT,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,30.0,UNIT,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,UNIT,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,UNIT,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15.0,UNIT,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,UNIT,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31.0,UNIT,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,120.0,UNIT,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,200.0,UNIT,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18.0,UNIT,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.0,UNIT,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,78.0,UNIT,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,UNIT,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,544.0,UNIT,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,143.0,UNIT,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,148.0,UNIT,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,0.0,UNIT,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,15.0,UNIT,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,UNIT,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,0.0,UNIT,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,326.0,UNIT,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,21.0,UNIT,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42.0,UNIT,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40.0,UNIT,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,10.0,UNIT,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,UNIT,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.0,UNIT,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,UNIT,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,23.0,UNIT,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3.0,UNIT,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2.0,UNIT,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,UNIT,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,3.0,UNIT,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,33.0,UNIT,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,162.0,UNIT,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,200.0,UNIT,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,41.0,UNIT,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,UNIT,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,78.0,UNIT,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,UNIT,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,544.0,UNIT,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,147.0,UNIT,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,804.0,UNIT,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,0.0,UNIT,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,17.0,UNIT,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,39.0,UNIT,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,0.0,UNIT,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,326.0,UNIT,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,21.0,UNIT,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42.0,UNIT,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,152.0,UNIT,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,10.0,UNIT,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2.0,UNIT,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.0,UNIT,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.0,UNIT,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,52.0,UNIT,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3.0,UNIT,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2.0,UNIT,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,UNIT,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,3.0,UNIT,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,35.0,UNIT,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,190.0,UNIT,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,200.0,UNIT,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,40.0,UNIT,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,UNIT,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,78.0,UNIT,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,13.0,UNIT,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,263.0,UNIT,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,178.0,UNIT,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,819.0,UNIT,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,1300.0,UNIT,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,28.0,UNIT,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,40.0,UNIT,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,1.0,UNIT,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,409.0,UNIT,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,21.0,UNIT,2021
