id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,33,UNIT,2016/2017
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,19,UNIT,2016/2017
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,28,UNIT,2016/2017
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,17,UNIT,2016/2017
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8,UNIT,2016/2017
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,30,UNIT,2016/2017
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19,UNIT,2016/2017
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,39,UNIT,2016/2017
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,74,UNIT,2016/2017
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,17,UNIT,2016/2017
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,40,UNIT,2016/2017
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2016/2017
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2,UNIT,2016/2017
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,27,UNIT,2016/2017
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,105,UNIT,2016/2017
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,10,UNIT,2016/2017
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,42,UNIT,2016/2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,5,UNIT,2016/2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,13,UNIT,2016/2017
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9,UNIT,2016/2017
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,15,UNIT,2016/2017
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,24,UNIT,2016/2017
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,85,UNIT,2016/2017
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,15,UNIT,2016/2017
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,47,UNIT,2016/2017
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,6,UNIT,2016/2017
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,10,UNIT,2016/2017
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,10,UNIT,2016/2017
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,18,UNIT,2016/2017
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3,UNIT,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,44,UNIT,2017/2018
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,134,UNIT,2017/2018
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,26,UNIT,2017/2018
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,49,UNIT,2017/2018
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,18,UNIT,2017/2018
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,69,UNIT,2017/2018
