id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pasar,satuan,tahun
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,57,UNIT,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16,UNIT,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,32,UNIT,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,16,UNIT,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,8,UNIT,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,49,UNIT,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,12,UNIT,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,14,UNIT,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,11,UNIT,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,4,UNIT,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,UNIT,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,8,UNIT,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,78,UNIT,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,95,UNIT,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,78,UNIT,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30,UNIT,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,65,UNIT,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57,UNIT,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,32,UNIT,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,31,UNIT,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,48,UNIT,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45,UNIT,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,38,UNIT,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,37,UNIT,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,UNIT,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,33,UNIT,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,58,UNIT,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16,UNIT,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28,UNIT,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,17,UNIT,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,8,UNIT,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,49,UNIT,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,12,UNIT,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,14,UNIT,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,12,UNIT,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,4,UNIT,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,UNIT,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,8,UNIT,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,78,UNIT,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,95,UNIT,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,78,UNIT,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30,UNIT,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,65,UNIT,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57,UNIT,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,32,UNIT,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,31,UNIT,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,48,UNIT,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45,UNIT,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,38,UNIT,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,37,UNIT,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,UNIT,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,33,UNIT,2023
