lat,lon,kecamatan,kepadatan_penduduk,jumlah_sekolah_500m,jumlah_pasar_1km,jumlah_kampus_1km,jumlah_restoran_500m,jumlah_kafe_500m,jumlah_halte_500m,jumlah_kompetitor_500m,success_score,kategori
-6.964,107.68599999999992,gedebage,4530.0,0,0,0,0,0,0,0,6.959689736675216,Rendah
-6.964,107.69399999999992,gedebage,4530.0,0,0,0,1,1,0,2,4.497661744648582,Rendah
-6.964,107.70199999999991,gedebage,4530.0,3,0,0,3,1,0,4,8.028046794424654,Rendah
-6.964,107.70999999999991,gedebage,4530.0,0,0,0,0,0,0,0,9.954244133849262,Rendah
-6.964,107.7179999999999,gedebage,4530.0,0,0,0,0,0,0,0,11.585386752379137,Rendah
-6.956,107.55,bandung kulon,21397.0,0,0,0,0,0,0,0,16.671191857481222,Rendah
-6.956,107.55799999999999,bandung kulon,21397.0,0,0,0,0,0,0,0,19.897820915898297,Rendah
-6.956,107.56599999999999,bandung kulon,21397.0,0,0,0,0,0,0,0,17.972130297365126,Rendah
-6.956,107.57399999999998,bandung kulon,21397.0,0,0,0,0,0,0,0,14.951862958406851,Rendah
-6.956,107.58199999999998,babakan ciparay,19694.0,0,0,0,1,0,0,1,17.425297927636354,Rendah
-6.956,107.59799999999997,bojongloa kidul,14278.0,2,0,1,2,0,0,2,19.62474410489237,Rendah
-6.956,107.60599999999997,bojongloa kidul,14278.0,1,0,0,9,7,0,16,21.526153189664242,Rendah
-6.956,107.61399999999996,bandung kidul,10306.0,0,0,0,1,0,0,1,3.266320243286323,Rendah
-6.956,107.62199999999996,bandung kidul,10306.0,1,0,2,0,0,0,0,22.19126306868123,Rendah
-6.956,107.62999999999995,bandung kidul,10306.0,0,0,2,1,0,0,1,19.38669676027007,Rendah
-6.956,107.63799999999995,buahbatu,13472.0,0,1,0,0,0,1,0,16.587422393046843,Rendah
-6.956,107.64599999999994,buahbatu,13472.0,1,1,0,0,0,0,0,16.759726774050954,Rendah
-6.956,107.65399999999994,rancasari,12071.0,3,0,0,0,0,0,0,8.743404367308433,Rendah
-6.956,107.66999999999993,rancasari,12071.0,1,0,0,0,0,0,0,13.777448825646353,Rendah
-6.956,107.67799999999993,gedebage,4530.0,0,0,0,0,0,0,0,11.950348800891216,Rendah
-6.956,107.68599999999992,gedebage,4530.0,0,0,0,1,2,0,3,6.161856011845724,Rendah
-6.956,107.69399999999992,gedebage,4530.0,1,2,0,30,12,0,42,22.891185857987104,Rendah
-6.956,107.70199999999991,gedebage,4530.0,0,2,0,13,9,0,22,16.311395535913057,Rendah
-6.956,107.70999999999991,gedebage,4530.0,2,1,0,0,0,0,0,15.26287301977289,Rendah
-6.948,107.55799999999999,bandung kulon,21397.0,1,0,0,0,0,0,0,19.427024521562288,Rendah
